Title,Company,Description
Senior Data Scientist - Hybrid Set up (Semarang),PT Accenture,"Responsibilities: Qualifications: Responsibilities Qualifications Drive sales and solutioning of data science/analytics engagements | Manage and/or supervise project delivery | Mentor teams, build new capabilities, support/contribute to thought leadership and building new skills. | Work seamlessly with Client teams in positioning data science/analytical capabilities and with help of them drive deliver data science/analytics engagement. | Manage the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise ratios, high variance, and multiple objective functions | Requires being creative and resourceful and will utilize traditional statistical methodologies as well as newer techniques from computational statistics and data mining and big data capabilities. | Experience in one or more statistical software packages such as R, SAS, SPSS, etc | Experience in one or more programming languages such as Python, R, etc | Experience in one or more machine learning solutions such as TensorFlow, IBM Watson, etc | Experience in one or more tools for visualization such as Tableau, Qlik, D3, etc | Good understanding of statistical modelling and machine learning | Good understanding of machine learning techniques such as Neural Networks, Random Forest, etc | Ability to meet travel requirements, when applicable | Have a minimum of 3-5 years in relevant experience | Have a minimum of Bachelor degree"
Data Analyst / Data Scientist,Bali Love,"Collaborate with stakeholders to understand business challenges and develop data-driven solutions. | Build, deploy, and refine machine learning models for tasks such as predictive analysis, classification, and clustering. | Conduct exploratory data analysis and feature engineering to uncover meaningful insights from large datasets. | Apply advanced statistical methods and machine learning algorithms to create effective data models. | Create compelling data visualizations, reports, dashboards, and presentations to communicate insights and recommendations. | Stay current with the latest data science technologies, trends, and best practices. | Bachelor’s or Master’s degree in Data Science, Statistics, Applied Mathematics, or a related field. | Proficiency in Python and R for data analysis and machine learning tasks. | Strong knowledge of machine learning algorithms (e.g., regression, clustering, decision trees, deep learning). | Experience using data visualization tools such as Tableau, Power BI, Matplotlib, or Seaborn. | Hands-on experience with machine learning frameworks like TensorFlow, PyTorch, or Scikit-learn. | Understanding of A/B testing, hypothesis testing, and other statistical analysis methods. | Experience in deploying and maintaining machine learning models. | Experience working with big data platforms (e.g., Hadoop, Spark) or cloud platforms (e.g., AWS, Google Cloud). | Experience with SQL for database management and querying. | Familiarity with data engineering tools and techniques. | Competitive salary and career growth opportunities. | Flexible working hours with the option to work remotely. | Be part of a collaborative and forward-thinking team. | Opportunity to influence business decisions through data-driven insights in a rapidly growing industry."
Data Analyst,PT Trans Antar Nusabird,"Job Description:: Kualifikasi:: Job Description: Kualifikasi: Menganalisa data existing untuk menghasilkan report dan insight untuk support decision making. | Memberikan pemahaman mengenai suatu kejadian yang telah terjadi dan yang terjadi saat ini. | Mengelola databases, troubleshoot issues, dan mengoptimalkan kinerja.  | Membuat dan mengelola basis data untuk menyimpan dan mengatur data secara efektif. | Memvisualisasikan data dan membuat dashboard. | Menganalisis dan menginterpretasi statistik. | Mampu melakukan pemodelan prediktik dan data mining. | Pendidikan Minimal Sarjana/ S1. | Mampu mengoperasikan Microsoft Excel, SQL, Tableau, Power BI dan Google Data. | Familiar dengan statistik dari level basic - intermediate. | Mampu dalam visualisasi data dan pelaporan. | Memiliki kemampuan untuk menganalisis data dan membuat keputusan yang tepat. | Memiliki kemampuan problem solving yang baik."
Data Engineer,PT Esha Parama Teknologi,"Job Description:: Job Description:

Data Modeling, ETL process, Big Data Technologies (Hadoop, Spark, NoSQL),
Programming Language (Python), Data Governance, Data Security 1. Design, develop, and maintain a robust and
efficient data architecture to collect, store, and process data from various sources
in the used car sales website platform. 2. Design and implement an optimal database schema, and
ensure data integrity and quality to support accurate analysis and decision-making for the development and management teams. 3. Build and manage data pipelines to efficiently flow data
from source to destination, so that relevant information can be accessed
and used quickly by various parts of the company. 4. Collaborate with data scientist, analyst, and development teams to
understand data needs and provide solutions that enable in-depth analysis and application of business intelligence in the used car sales platform."
Data Analyst - PT Federal International Finance,PT Astra International - Toyota Sales Operation (Auto2000),"1. Melakukan pengumpulan, pembersihan, dan pemrosesan data konsumen untuk memastikan data siap digunakan dalam analisis lebih lanjut.2. Menganalisis data konsumen secara mendalam untuk menghasilkan rekomendasi berbasis data yang mendukung pengambilan keputusan bisnis.3. Membuat laporan harian terkait data proyek dan mendistribusikannya kepada tim terkait untuk pemantauan kinerja dan hasil secara berkelanjutan.4. Berkolaborasi dengan tim lain untuk mengidentifikasi pola atau tren dalam data yang relevan dengan tujuan strategis perusahaan. 1. Lulusan Sarjana dari jurusan Statistika atau Matematika dan jurusan lainnya yang berkaitan dari universitas terkemuka.2. Antusias dalam bidang Data Science serta memiliki pemahaman mendalam mengenai alat-alat statistik.3. IPK minimal 3.0.4. Memiliki pengetahuan dan pengalaman yang memadai dalam analitik data serta penggunaan alat query (Python/R/SPSS dan SQL).5. Mampu berpikir analitis dengan keterampilan perencanaan yang kuat untuk menyusun strategi berbasis data.6. Keterampilan komunikasi dan presentasi yang baik untuk menyampaikan hasil analisis secara jelas dan efektif kepada berbagai pihak.7. Mahir dalam pemecahan masalah untuk menemukan solusi berbasis data terhadap tantangan yang dihadapi."
DATA ANALIS - JATIBARANG,PT Fastrata Buana (Distributor Kapal Api),"Tanggung Jawab:: Kualifikasi:: JATIBARANG: Tanggung Jawab: Kualifikasi: Membuat laporan penjualan cabang berupa data pencapaian target, pertumbuhan penjualan, fluktuasi penjualan dan data pareto outlet agar dapat digunakan oleh Branch Manager sebagai dasar analisa dan pengambilan keputusan | Usia maks 30 tahun | Pendidikan DIII/ S1 Jurusan statistik/ matematika/teknik informatika | Pengalaman minimal 1 Tahun sebagai Data Analis | Paham MS Excell tingkat mahir | Diutamakan pengalaman menggunakan sistem Oracle | Penempatan : JATIBARANG"
Data Enterprise Analyst,PT Mandiri Tunas Finance,"Deskripsi Pekerjaan: Kualifikasi : Mengumpulkan, membersihkan, dan menganalisis data dalam jumlah besar untuk mengidentifikasi tren, pola, dan wawasan. | Mengembangkan dan memelihara dashboard serta laporan untuk melacak indikator kinerja utama (KPI). | Membantu dalam desain dan implementasi data warehousing serta proses ETL (Extract, Transform, Load). | Mendukung inisiatif tata kelola data untuk memastikan kualitas dan kepatuhan data terhadap regulasi. | Mengkomunikasikan konsep terkait data yang kompleks dengan cara yang mudah dipahami oleh audiens non-teknis. | Memelihara dokumentasi terkait proses data, analisis, dan temuan untuk referensi dan kepatuhan di masa mendatang. | Tetap memperbarui pengetahuan mengenai tren industri dan teknologi baru yang terkait dengan analisis data. | Pendidikan minimal S1 di bidang Ilmu Komputer, Data Science, Statistika, atau bidang terkait (gelar master lebih diutamakan), dengan IPK minimal 3,20. | Familiar dengan platform cloud seperti AWS, Google Cloud, atau Azure dapat menjadi nilai tambah. | Penguasaan SQL dan setidaknya satu bahasa pemrograman (misalnya, Python, R). | Pengalaman dengan alat visualisasi data (misalnya, Tableau, Power BI)."
Dosen Prodi Data Science (UBM Kampus Serpong),Universitas Bunda Mulia (Yayasan Pendidikan Bunda Mulia ),"Kualifikasi Umum :: Kualifikasi Khusus :: S2: S1 & S2 linier jurusan Ilmu Komputer / Teknik  Informatika/ Sistem Informasi terkait AI / Data Science / Machine Learning / Big Data / Data Mining / Python: Kualifikasi Umum :   Kualifikasi Khusus : Usia maksimal 45 tahun | Mampu bekerja secara multi tasking dan bekerja dalam tim (team player) | Menguasai Microsoft Office, internet, dan mampu berbahasa Inggris (min.pasif) | Pendidikan minimal S2 (S1 & S2 linier jurusan Ilmu Komputer / Teknik  Informatika/ Sistem Informasi terkait AI / Data Science / Machine Learning / Big Data / Data Mining / Python). Lulusan S3 ataupun sedang menekuni pendidikan S3 lebih disukai.  | Memiliki pengalaman minimal 1 tahun sebagai dosen di Perguruan Tinggi. | Memiliki pengalaman penelitian di bidang AI / Machine Learning. | Memiliki kompetensi di bidang Data Science terkait Kecerdasan Buatan (AI), Pemrograman, Data Analisis, dan Data Visual. | Penempatan : UBM Alam Sutera - Tangerang"
Data Analyst Supervisor,PT. Master Persada Indonesia,"Deskripsi Pekerjaan:: Kualifikasi:: Deskripsi Pekerjaan:   Kualifikasi:   Merancang dan memelihara sistem data kunjungan sales dan database customer | Mengidentifikasi data dari sumber primer dan sekunder | Menyiapkan laporan untuk mengkomunikasikan data dalam bentuk tren, pola, dan prediksi menggunakan data yang relevan | Membantu user untuk mengidentifikasi korelasi serta pola dari data-data tersebut | Melakukan analisa data penjualan secara menyeluruh, meliputi analisa customer, penetrasi area, analisa kompetitor, monitoring dan evaluasi area penjualan. | Usia 25 - 35 tahun | Pendidikan S1 Semua jurusan (diutamakan statistic/matematika) | Pengalaman minimal 2 tahun dibidang pengolahan data dan analisa | Dapat mengoperasikan MS. Excel level advanced | Penempatan di Pegangsaan Dua, Jakarta Utara"
Machine Learning,PT Caraka Komunika Indonesia,"Requirements :: Responsibilities :: Requirements :   Responsibilities : Bachelor Degree in Computer Science or any related field. | 2 years of experience in machine learning, software engineering, or DevOps. | Hands-on experience with machine learning frameworks(TensorFlow, PyTorch,etc). | Experience with cloud platforms (AWS, Azure, Google Cloud) and their ML services. | Familiar with containerization (Docker, Kubernetes). | Experience with model versioning and management tools (MLflow, DVC). | Knowledge of data privacy and security best practices. | Familiarity with Agile methodologies and practices. | Design, build, and maintain machine learning infrastructure and pipelines for face recognition and computer vision products. | Automate the deployment and monitoring of machine learning models in production. | Collaborate with Data Scientists and Software Engineers to integrate ML models into applications. | Implement Cl/CD practices for machine learning projects. | Monitor model performance and accuracy, addressing issues as they arise. | Ensure data quality and consistency across various stages of ML pipeline. | Manage and optimize cloud based ML services and resources. | Develop and maintain documentation for MLOps processes and best practices."
Data Annotator - Transsion,PT Carlcare Service Ila,"Job Responsibilities: Qualifications: Job Responsibilities
As an AI linguistic Data Engineer in AI language research and development, and data production related positions, you will participate in the research and development of language rules, data collection, sorting and labeling, etc., to provide high-quality data support for our Machine Learning algorithms and models. You will work closely with our team and be responsible for completing the following main tasks:
1. Participated in the research and development of linguistic rules.
2. Collect, organize, and annotate language data for AI model training and optimization.
3. Focus on the learning and auxiliary formulation of specific link standards in data production; data labeling quality inspection, model effect evaluation; and training of labeling personnel.
4. Learn to understand AI-related business processes and algorithmic processes, including but not limited to automatic speech recognition , natural language processing, and Text To Speech.
5. Other business related work.

Qualifications
1. Bachelor degree or above, majoring in language or linguistics is preferred.
2. Solid foundation in theoretical linguistics, with a strong interest and passion for linguistic research, and a strong interest in applying linguistic knowledge to the industrial field.
3. Proficient in the target languages, with good listening, speaking, reading, and writing skills, able to accurately understand and express language characteristics.
4. Able to communicate in Chinese or English, familiar with Chinese is preferred.
5. Proficient in using Praat for audio analysis and annotation is preferred.
6. Proficiency in writing scripts in a language (such as python) for data processing is preferred.
7. Strong sense of responsibility and teamwork spirit, able to complete tasks on time."
Data Analyst,PT Mata Pelangi Chemindo,"We are looking to hire a Data Analyst to join us. You will take responsibility for managing our master data set, developing reports, and assess potential risks. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. Required skills and competencies: Bachelor’s degree from an accredited university in FMIPA/ Statistics/ Actuarial. | Proven work experience as a data analyst or business analyst | Ability to work with stakeholders to assess potential risks. | Experience in methodologies and processes for managing large-scale databases. | High-level written and verbal communication skills. | Fluent in english verbal and written."
