Title,Company,Description
Data Analyst,Yayasan Hutan Tropis,"Data Analyst: Collect, clean and analyze information: Summarize data insights: Collaborate: improve our internal processes: Location: Other information: With most of our staff operating directly on the ground where the issues are, we work with our mem-bers and partners to make value chains an engine of prosperity for communities and ecosystems. We see a world where forests are a boundless source of materials and a home for biodiversity; com-munities see their rights respected and have opportunities to develop; workers are seen as productive partners, and agriculture becomes the instrument to feed a hungry planet and keep our climate stable. As a Data Analyst, your primary responsibilities are to:   In this role, you’ll be managing large, complex data sets, ensuring their integrity and quality while creating clear and compelling reports. Your expertise in Excel, including advanced skills in macros and VBA, will be essential in automating and optimizing our data processes. Plus, your experience with tools like PowerPoint and Tableau will help you craft impactful presentations that tell a story. We value a collaborative mindset and are looking for someone who can work independently while integrating seamlessly with our diverse, multicultural team. Your strong communication skills and diplomatic approach will help you build strong relationships and navigate difficult conversations with ease. If you’re a curious problem-solver who thrives in a dynamic environment and is eager to contribute to our team’s success, we’d love to have you on board. Let’s work together to create a more sustainable future! Language skills Location Other information If you are in search of having a meaningful impact, with a desire to innovate and act for the environment, this offer is for you! 
The team you would join is truly committed to and passionate about finding concrete solutions to improve the relationship between People and Nature. Only selected candidates will be contacted. Good Luck! Collect, clean and analyze information you receive from our clients to explain major trends and support the elaboration of recommendations guiding companies to transform their supply chains. | Summarize data insights on the shape of reports to provide a compelling story on the impact of deforestation on our customers’ supply chains, related to various agricultural commodities (e.g. palm oil, soy, cocoa). | Collaborate with your colleagues in Malaysia, Indonesia, Ecuador, Ghana and Switzerland to complete the reports, and provide further data analysis as needed. | Stay on the lookout for ways to improve our internal processes and how we work together. | Bahasa Indonesia or English proficiency | Based in Semarang, or Jakarta Indonesia or Ghana | Full-time position | Fixed long-term local contract (12  months)"
DATA ANALYST,PT Karya Anugerah Jaya,"KUALIFIKASI :: DESKRIPSI PEKERJAAN :: NOTE : PENEMPATAN SIDOARJO, JAWA TIMUR: Lulusan S1 MIPA / Statistika / Matematika / Ekonomi | Berpengalaman minimal 2 tahun sebagai Data Analyst (Fresh graduate dipersilahkan melamar) | Usia Maksimal 30 Tahun | Mampu melakukan pengolahan data | Menguasai program Microsoft Office dan Familiar dengan Accurate | Memiliki kemampuan komunikasi dan interpersonal yang baik | Jujur, teliti , berinisiatif, proaktif dan bertanggung jawab | Melakukan analisa dan interpretasi data penjualan | Memenuhi setiap target pekerjaan yang diberikan | Menghitung insentive team marketing setiap bulannya | Menghitung gaji karyawan | Membuat, mempersiapkan, dan memperbarui kontrak kerja karyawan | Membuat Laporan Bulanan | Bertanggung jawab untuk memantau hasil evaluasi dan perpanjangan kontrak karyawan."
Data Analyst Jr. Specialist,PT Bussan Auto Finance (BAF),"Job Description : : Qualification : : Job Description :  Qualification :  Mengumpulkan, menganalisis, dan menyajikan data berkaitan dengan kegiatan telesales untuk mendukung pengambilan keputusan yang berbasis data. | Membuat dan mengembangkan visualisasi data analisis yang dapat memberikan wawasan tentang kinerja tim Telesales dan efektivitas campaign yang sedang berjalan. | Bekerja sama dengan tim operational/center untuk mengidentifikasi tren, pola, dan peluang yang dapat dimanfaatkan untuk meningkatkan hasil penjualan. | Menyusun laporan periodik yang memberikan analisis mendalam mengenai kinerja telesales dan merekomendasikan strategi perbaikan.  | Gelar S1 di bidang Statistika, Matematika, Ekonomi, Informatika atau bidang lain yang relevan. | Pengalaman minimal 2-3 tahun sebagai Data Analyst, diutamakan pengalaman di industri Financial Services. | Usia maksimal 30 tahun | Kemampuan analisis data yang kuat dan keterampilan dalam penggunaan tools analisis seperti SQL, Excel, Knime dan tools visualisasi seperti Tableau atau Power BI. | Mampu bekerja secara tim maupun mandiri, serta memiliki keterampilan komunikasi yang baik untuk menyampaikan temuan analisis. | Memiliki antusias, detail-oriented, kemauan untuk belajar serta berkembang dan mampu beradaptasi dengan cepat."
Data Analyst,"PT SMART,Tbk","Job Description Summary:: Job Description:: Job requirement:: ""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person"": Job Description Summary: Deforestation MRV to support compliance to policy, regulations and projects needed (government and markets); Monitoring and Reporting for Upstream & Downstream and ensured a proper and reliable verification for deforestation monitoring alerts towards transparent and responsible sourcing.   Job Description:   Job requirement:   ""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person"" To validate supplier-supply base data in TTP Declaration | To investigate and analyze third party supplier boundaries | Specific for EUDR : to ensure alert(s) (individual or connected) having size >0.5 hectares | To calculate and analyze comparative %NDV score each cycle | To report and update %NDV score in all GAR Downstream facilities each cycle | To develop justification for desktop-based calculation and collect evidence reports | To seek deforestation clarity from suppliers (internal & external engagement) | To do QC on reporting that matches to standard required by customers | To recalculate, verify and update final %NDV score according to provided field verification | To develop procedures or working instruction (SOP/IK) | To manage database of supply base | Bachelor's Degree with 2 years of work experience as a data analyst | Analytical skills with a focus on providing forward-looking insight and value added analysis | Applicants must be willing to work in Thamrin. | Full-Time position(s) available."
Data Analyst - ERP Staff (JAKARTA),PT Allure Alluminio,ERP(Dynamics 365 Business Central): Bersedia ditempatkan di Kelapa Gading (Jakarta Utara): KUALIFIKASI : Pendidikan minimal S1 jurusan Matematika/Statistika/Sistem Informasi | Pengalaman minimal 2 tahun dalam menggunakan ERP(Dynamics 365 Business Central) | Memiliki kemampuan analisis data yang kuat | Terbiasa mengolah data dan statistik | Mampu mempresentasikan data dengan baik  | Memiliki kemampuan komunikasi yang baik | Mampu bekerja secara mandiri maupun dalam tim | Bersedia ditempatkan di Kelapa Gading (Jakarta Utara)
Data Analyst,PT Trans Antar Nusabird,"Job Description:: Kualifikasi:: Job Description: Kualifikasi: Menganalisa data existing untuk menghasilkan report dan insight untuk support decision making. | Memberikan pemahaman mengenai suatu kejadian yang telah terjadi dan yang terjadi saat ini. | Mengelola databases, troubleshoot issues, dan mengoptimalkan kinerja.  | Membuat dan mengelola basis data untuk menyimpan dan mengatur data secara efektif. | Memvisualisasikan data dan membuat dashboard. | Menganalisis dan menginterpretasi statistik. | Mampu melakukan pemodelan prediktik dan data mining. | Pendidikan Minimal Sarjana/ S1. | Mampu mengoperasikan Microsoft Excel, SQL, Tableau, Power BI dan Google Data. | Familiar dengan statistik dari level basic - intermediate. | Mampu dalam visualisasi data dan pelaporan. | Memiliki kemampuan untuk menganalisis data dan membuat keputusan yang tepat. | Memiliki kemampuan problem solving yang baik."
Business Analyst,PT Premier Qualitas Indonesia,"Duties & Responsibilities: Requirement: Duties & Responsibilities Requirement  Create a new business plan and review the performance of existing project  | Do market research in optimizing high and best use of new land proposed by Land Acquisition 
team  | Together with other departments to determine or update cost component of the proforma i.e. 
(variable cost, construction, land, permit cost, etc.)  | Provide general analytical support regarding particular project i.e. qualitative and quantitative 
approach  | Deep knowledge about Property Industry (i.e. landed house, apartment, warehousing)  | Analyze, review and provide recommendations regarding financial aspects of assigned project | Monitoring customer trends, other property developer movement and any related issues to 
property industry | Conducting market Analysis from other developer / competitor in terms of Product configuration, 
pricing, and rhythm particularly for landed house, low/midrise and shop house | Proposed fresh idea for new upcoming product (landed or apartment, warehouse)  | Together with other division construct/update SOP | Bachelor's or Master Degree from reputable university majoring g in Finance or Urban Planning or related with GPA min. 3.25 of 4 | Have an experience for 4 years in Property Industry or related field | Strong analytical skill with excellent communication  | Highly Proficient in Microsoft excel and Power Point is a must  | Ability to establish and execute project task  | Highly initiative and self-motivated"
Marketing Data & System Support Controller,"PT Tower Bersama Infrastructure, Tbk","Qualifications: Job Description: Min. S1 in any major | Having minimum 3 years experience in handling database or related roles, preferably in telecommunications. | Having good knowledge in operating Ms. Excel | Experience in the fiber optic business is a plus | Ensure timely submission of site lists to all operators | Accurately input data into systems ontime after receiving complete documentation. | Maintain a high standard of data accuracy with a target of 0% errors in analysis and input processes. | Oversee the completeness of supporting documents for purchase orders, ensuring all necessary information is provided for processing. | Monitor and drive the reduction of accrue revenue marketing. | Conduct monthly reconciliations of data with other departments to ensure consistency and accuracy. | Ensure that all site lists and relocation data are submitted punctually to operators."
Data Analyst,PT Mata Pelangi Chemindo,"We are looking to hire a Data Analyst to join us. You will take responsibility for managing our master data set, developing reports, and assess potential risks. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. Required skills and competencies: Bachelor’s degree from an accredited university in FMIPA/ Statistics/ Actuarial. | Proven work experience as a data analyst or business analyst | Ability to work with stakeholders to assess potential risks. | Experience in methodologies and processes for managing large-scale databases. | High-level written and verbal communication skills. | Fluent in english verbal and written."
Senior Data Analyst,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),"About GoTo Group GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household. About Gojek  Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market. About GoTo Financial GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last. GoTo and its business units, including Gojek and GoToFinancial (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels. Create business impact by working on strategic initiatives in Gojek focussed on analysis and experimentation.  | Build & maintain dashboards for tracking business performance and product adoption. | Deliver insight, analysis using statistical tools, data visualization, and business use case to product and business team. | Partner closely with Product Managers and Business teams to help them make decisions. | Handle Gojek Product and Business team in identifying product or business opportunities and support in product delivery such as experimentation. | Automate data extraction by creating denormalized tables or data mart based on business or product requirement. | At least 3 years of working experience with basic statistics or product analytics. Furthermore with a strong business sense and data-driven role background | Expert in SQL , data visualization and dashboarding .  | Comfortable working both independently with minimal guidance and in a team setting | Ability to use critical thinking daily to manage daily tasks while being goal-oriented | Ability to transform an ambiguous business or product problem into a well-scoped and impactful analysis; able to design simple experiments | Exposure to visualization and dashboarding tools like   Tableau, Metabase, Google Data Studio, Clevertap, Python, etc is a plus."
